covered 103 missing 258
052	thoi-gia-long-tri-vi	Thời Gia Long trị vì	1802 - 1820
053	trieu-nguyen-thanh-lap	Triều Nguyễn được thành lập	Năm 1802
054	gia-dinh-thanh-duoc-lap	Gia Định Thành được lập	1808 - 1832
055	doi-dinh-quang-duc-thanh-phu-thua-thien	Đổi dinh Quảng Đức thành phủ Thừa Thiên	Năm 1822
056	doi-cac-doanh-quang-binh-quang-tri-quang-nam-thanh-tran	Đổi các doanh Quảng Bình, Quảng Trị, Quảng Nam thành trấn	Năm 1827
057	phap-xam-luoc-viet-nam	Thực dân Pháp xâm lược và từng bước áp đặt ách cai trị ở Việt Nam	Giữa thế kỉ XIX
058	do-dac-cam-moc-chu-quyen-hoang-sa-pham-huu-nhat	Đo đạc, cắm mốc chủ quyền Hoàng Sa của Phạm Hữu Nhật	Ngày 1 tháng Giêng năm 1836
059	thi-diem-chia-lai-ruong-dat-minh-mang	Thí điểm chia lại ruộng đất dưới thời Minh Mạng	1837 - 1840
060	chu-quyen-bien-dao-viet-nam-1858-1918	Chủ quyền biển đảo Việt Nam 1858-1918	Chủ quyền biển đảo Việt Nam 1858-1918
061	khang-chien-chong-thuc-dan-phap-trieu-nguyen	Kháng chiến chống thực dân Pháp của triều Nguyễn	1858 – 1884
062	phap-xam-chiem-dong-duong	Pháp xâm chiếm ba nước Đông Dương	1858-1893
063	phong-trao-chong-thuc-dan-phap-xam-luoc-o-viet-nam	Phong trào chống thực dân Pháp xâm lược ở Việt Nam	1858 - khoảng 1884
064	khoi-nghia-cua-pu-com-bo	Khởi nghĩa của Pu-côm-bô	1866-1867
065	phap-chiem-sau-tinh-nam-ki	Pháp chiếm sáu tỉnh Nam Kì	Năm 1867
066	vuong-thuc-mau-khoi-nghia-can-vuong	Vương Thúc Mậu khởi nghĩa hưởng ứng Dụ Cần vương	cuối thế kỉ XIX
067	phap-chiem-bac-ki-lan-1	Pháp đánh chiếm Bắc Kì lần thứ nhất	Năm 1873
068	phap-chiem-bac-ki-lan-2	Pháp đánh chiếm Bắc Kì lần thứ hai	Năm 1882
069	hiep-uoc-hac-mang	Hiệp ước Hác-măng	Năm 1883
070	hiep-uoc-pa-to-not	Hiệp ước Pa-tơ-nốt	Năm 1884
071	trung-quoc-tu-choi-boi-thuong-vu-tau-dam-hoang-sa	Trung Quốc từ chối bồi thường vụ tàu đắm ở Hoàng Sa	Năm 1898
072	phong-trao-dong-du	Phong trào Đông du	Đầu thế kỉ XX
073	hoat-dong-doi-ngoai-phan-boi-chau	Hoạt động đối ngoại của Phan Bội Châu	1905 - 1912
074	phan-boi-chau-sang-nhat-ban-1905	Phan Bội Châu sang Nhật Bản	Đầu năm 1905
