covered 103 missing 258
194	quan-giai-phong-mien-nam-viet-nam-tiep-quan-truong-sa	Quân giải phóng miền Nam Việt Nam tiếp quản các đảo và triển khai lực lượng thực thi chủ quyền đối với quần đảo Trường Sa	Từ ngày 13 đến ngày 28 tháng 4 năm 1975
195	hoan-toan-giai-phong-mien-nam-viet-nam	Hoàn toàn giải phóng miền Nam Việt Nam	tháng 4-1975
196	quoc-hoi-khoa-vi-doi-ten-sai-gon-thanh-thanh-pho-ho-chi-minh	Quốc hội khoá VI quyết định đổi tên Sài Gòn thành Thành phố Hồ Chí Minh	Năm 1976
197	thuc-hien-thong-nhat-dat-nuoc-viet-nam	Thực hiện thống nhất đất nước Việt Nam	năm 1976
198	viet-nam-ban-hanh-tuyen-bo-vung-bien-them-luc-dia	Việt Nam ban hành Tuyên bố về các vùng biển và thềm lục địa Việt Nam	Tháng 5 năm 1977
199	viet-nam-thanh-vien-lien-hop-quoc	Việt Nam trở thành thành viên chính thức của Liên hợp quốc	Ngày 20-9-1977
200	lien-hop-quoc-vien-tro-viet-nam-1977-1986	Hệ thống phát triển Liên hợp quốc viện trợ không hoàn lại cho Việt Nam	Những năm 1977 – 1986
201	philippin-ban-hanh-sac-lenh-1596-tuyen-bo-chu-quyen-truong-sa	Phi-líp-pin ban hành Sắc lệnh 1596 tuyên bố chủ quyền đối với hầu hết các đảo thuộc quần đảo Trường Sa	Năm 1978
202	viet-nam-gia-nhap-sev	Việt Nam gia nhập Hội đồng tương trợ kinh tế (SEV)	Năm 1978
203	go-ro-bat-co-pham-tuan-bay-vu-tru	V. Go-rơ-bát cô (Liên Xô) và Phạm Tuân (Việt Nam) cùng bay vào vũ trụ	1980
204	thanh-lap-huyen-hoang-sa-va-huyen-truong-sa	Thành lập huyện Hoàng Sa và huyện Trường Sa	Năm 1982
205	bru-nay-tuyen-bo-ranh-gioi-them-luc-dia	Bru-nây tuyên bố về ranh giới thềm lục địa 200 hải lí	Năm 1983
206	bru-nay-tuyen-bo-vung-dac-quyen-kinh-te	Bru-nây tuyên bố về vùng đặc quyền kinh tế	Năm 1984
207	dai-hoi-dai-bieu-toan-quoc-lan-thu-vi-cua-dang-cong-san-viet-nam	Đại hội đại biểu toàn quốc lần thứ VI của Đảng Cộng sản Việt Nam	12 – 1986
208	bai-bo-che-do-tem-phieu-o-viet-nam	Bãi bỏ chế độ tem phiếu ở Việt Nam	Ngày 1-4-1989
209	dai-hoi-dai-bieu-toan-quoc-lan-thu-vii-cua-dang-cong-san-viet-nam	Đại hội đại biểu toàn quốc lần thứ VII của Đảng Cộng sản Việt Nam	1991
210	viet-nam-binh-thuong-hoa-quan-he-trung-quoc	Việt Nam bình thường hoá quan hệ với Trung Quốc	Năm 1991
211	xay-dung-va-dong-dien-duong-day-500kv-bac-nam-mach-1	Xây dựng và đóng điện đường dây 500 kV Bắc - Nam (mạch 1)	1992 - 1993
212	dai-loan-chiem-bai-can-ran-san-ho-ban-than	Đài Loan chiếm bãi cạn rạn san hô Bàn Than	Năm 1995
213	trung-quoc-danh-chiem-da-vanh-khan	Trung Quốc đánh chiếm đá Vành Khăn	Năm 1995
214	viet-nam-binh-thuong-hoa-quan-he-my	Việt Nam bình thường hoá quan hệ với Mỹ	Năm 1995
215	dai-hoi-dai-bieu-toan-quoc-lan-thu-viii-cua-dang-cong-san-viet-nam	Đại hội đại biểu toàn quốc lần thứ VIII của Đảng Cộng sản Việt Nam	1996
216	ki-tuyen-bo-ve-ung-xu-cua-cac-ben-o-bien-dong-doc	Kí Tuyên bố về ứng xử của các bên ở Biển Đông (DOC)	Ngày 4 tháng 11 năm 2002
217	bo-chinh-tri-ban-hanh-chi-thi-06-ct-tw-ve-cuoc-van-dong-hoc-tap-va-lam-theo-tam-guong-dao-duc-ho-chi-minh	Bộ Chính trị ban hành Chỉ thị 06-CT/TW về Cuộc vận động “Học tập và làm theo tấm gương đạo đức Hồ Chí Minh”	Ngày 7-11-2006
218	dai-hoi-dai-bieu-toan-quoc-lan-thu-x-cua-dang-cong-san-viet-nam	Đại hội đại biểu toàn quốc lần thứ X của Đảng Cộng sản Việt Nam	2006
219	viet-nam-thong-qua-luat-bien-viet-nam	Việt Nam thông qua Luật Biển Việt Nam	Năm 2012
220	hien-phap-cong-hoa-xa-hoi-chu-nghia-viet-nam-2013	Hiến pháp nước Cộng hoà xã hội chủ nghĩa Việt Nam năm 2013	Năm 2013
221	viet-nam-hoan-tat-muc-tieu-thien-nien-ki	Việt Nam hoàn tất việc thực hiện các Mục tiêu Thiên niên kỉ (MDGs) của Liên hợp quốc	Đến năm 2015
222	bo-chinh-tri-ban-hanh-chi-thi-05-ct-tw-ve-day-manh-hoc-tap-va-lam-theo-tu-tuong-dao-duc-phong-cach-ho-chi-minh	Bộ Chính trị ban hành Chỉ thị 05-CT/TW về “đẩy mạnh học tập và làm theo tư tưởng, đạo đức, phong cách Hồ Chí Minh”	Ngày 15 – 5 – 2016
223	quan-he-viet-nam-my-doi-tac-chien-luoc-toan-dien	Quan hệ Việt Nam - Mỹ lên tầm đối tác chiến lược toàn diện	Năm 2023
224	chien-luoc-vua-danh-vua-dam-va-van-dong-quoc-te-cong-nhan-mat-tran-dan-toc-giai-phong-mien-nam-viet-nam	Chiến lược "vừa đánh, vừa đàm" và vận động quốc tế công nhận Mặt trận Dân tộc giải phóng miền Nam Việt Nam	Trong kháng chiến chống Mỹ (1954-1975)
225	chinh-quyen-phap-cai-cach-huong-chinh	Chính quyền thực dân Pháp thực hiện cải cách hương chính	Thời Pháp thuộc
226	chu-nom-su-dung-rong-rai	Chữ Nôm được sử dụng rộng rãi	Từ thế kỉ XIII
227	chu-quoc-ngu-xuat-hien	Chữ Quốc ngữ xuất hiện và dần được hoàn thiện	Từ đầu thế kỉ XVI
228	dau-tranh-chong-phong-kien-phuong-bac	Đấu tranh chống sự thống trị, đồng hoá của các triều đại phong kiến phương Bắc	Hơn 1000 năm Bắc thuộc
229	dinh-tien-le-dong-do-hoa-lu	Triều Đinh và Tiền Lê đóng đô ở Hoa Lư	Thời Đinh – Tiền Lê
230	khang-chien-thang-loi	Kháng chiến thắng lợi	Thời kì kháng chiến
231	lang-co-ten-nom-xuat-hien-som-thoi-ly-tran	Những làng có tên nôm xuất hiện sớm vào thời Lý – Trần	Thời Lý – Trần
232	nha-ly-su-dung-thi-cu-nho-hoc	Nhà Lý chính thức sử dụng chế độ thi cử Nho học	Thời Lý
233	nha-ly-to-chuc-khoa-thi-nho-hoc-dau-tien	Nhà Lý tổ chức khoa thi Nho học đầu tiên	Thời nhà Lý
234	nho-giao-du-nhap-viet-nam	Nho giáo du nhập vào Việt Nam	Thời Bắc thuộc
235	phong-trao-can-vuong	Phong trào Cần Vương	Phong trào Cần Vương
236	tan-cong-champa-dai-viet-cuoi-tk14	Các cuộc tấn công của Chăm-pa vào Đại Việt	Trong khoảng 30 năm cuối thế kỉ XIV
237	thanh-lap-quoc-su-quan-trieu-nguyen	Thành lập Quốc sử quán triều Nguyễn	Thời Nguyễn
238	thoi-tran-dat-chuc-xa-quan	Thời Trần đặt chức xã quan	Thời Trần
239	tin-nguong-tho-than-dong-co-cung-dinh	Tín ngưỡng thờ thần Đồng Cổ được đưa vào cung đình	Thời Lý
240	tuyen-duong-chi-vien-chien-luoc-tren-bien-mang-ten-chu-tich-ho-chi-minh	Tuyến đường chi viện chiến lược trên biển mang tên Chủ tịch Hồ Chí Minh	Trong cuộc kháng chiến chống Mỹ, cứu nước
241	van-hoa-phung-nguyen	Văn hoá Phùng Nguyên	Khoảng 4000 năm trước
242	viet-nam-dam-phan-ranh-gioi-tren-bien	Việt Nam đàm phán về ranh giới trên biển với Ma-lai-xi-a, In-đô-nê-xi-a, Phi-líp-pin và Thái Lan	Trong thời kì Đổi mới
243	viet-nam-ki-ket-evfta	Việt Nam kí kết Hiệp định Thương mại tự do Việt Nam - EU (EVFTA)	Trong thời kì Đổi mới
244	viet-nam-ki-ket-hiep-uoc-bien-gioi-trung-quoc	Việt Nam kí kết các hiệp ước về biên giới trên đất liền và phân định vịnh Bắc Bộ với Trung Quốc	Trong thời kì Đổi mới
245	viet-nam-ki-ket-nghi-dinh-thu-ki-o-to	Việt Nam kí kết Nghị định thư Ki-ô-tô	Trong thời kì Đổi mới
246	viet-nam-ki-ket-rcep	Việt Nam kí kết Hiệp định Đối tác kinh tế toàn diện Khu vực (RCEP)	Trong thời kì Đổi mới
247	viet-nam-lao-cam-pu-chia-chuyen-sang-kinh-te-thi-truong-va-cong-nghiep-hoa	Việt Nam, Lào, Cam-pu-chia chuyển sang kinh tế thị trường và công nghiệp hóa	Từ cuối thập kỉ 80 – 90 của thế kỉ XX
248	viet-nam-mo-co-quan-dai-dien-ngoai-giao-va-thong-tin-o-nuoc-ngoai	Việt Nam mở các cơ quan đại diện ngoại giao và thông tin ở nước ngoài	Trong kháng chiến chống Pháp (1945-1954)
249	viet-nam-tham-gia-afta	Việt Nam kí hiệp định tham gia Khu vực Mậu dịch tự do ASEAN (AFTA)	Trong thời kì Đổi mới (sau 1995)
250	viet-nam-thoan-thuan-bien-gioi-lao-cam-pu-chia	Việt Nam đạt được nhiều thoả thuận trong phát triển đường biên giới hoà bình, hữu nghị với Lào và Cam-pu-chia	Trong thời kì Đổi mới
251	viet-nam-to-chuc-hoi-nghi-quoc-te-asean-asem-apec	Việt Nam tổ chức thành công nhiều hội nghị quốc tế quan trọng thuộc ASEAN, ASEM và APEC	Trong thời kì Đổi mới (từ 1986 đến nay)
252	viet-nam-uy-vien-khong-thuong-truc-hoi-dong-bao-an-lhq	Việt Nam được bầu vào vị trí Uỷ viên không thường trực Hội đồng Bảo an Liên hợp quốc	Nhiệm kì 2008 – 2009 và 2020 - 2021
253	vndcch-can-bang-quan-he-voi-lien-xo-trung-quoc-va-van-dong-vien-tro	Việt Nam Dân chủ Cộng hoà cân bằng quan hệ với Liên Xô, Trung Quốc và vận động viện trợ	Trong kháng chiến chống Mỹ (1954-1975)
254	vndcch-dau-tranh-doi-thi-hanh-hiep-dinh-gio-ne-vo	Việt Nam Dân chủ Cộng hoà đấu tranh đòi thi hành Hiệp định Giơ-ne-vơ	Trong kháng chiến chống Mỹ (1954-1975)
255	vndcch-gap-go-dang-cong-san-phap-va-cac-to-chuc-quoc-te	Chính phủ Việt Nam Dân chủ Cộng hoà gặp gỡ đại diện Đảng Cộng sản Pháp và nhiều tổ chức quốc tế	Sau năm 1950
256	vndcch-thiet-lap-quan-he-ngoai-giao-voi-lao-campuchia-va-ung-ho-phong-trao-giai-phong-dan-toc	Việt Nam Dân chủ Cộng hoà thiết lập quan hệ ngoại giao với Lào, Campuchia và ủng hộ phong trào giải phóng dân tộc	Trong kháng chiến chống Mỹ (1954-1975)
257	vu-an-le-chi-vien	Vụ án Lệ Chi Viên	Trước năm 1460
258	xa-tro-thanh-ten-goi-pho-bien	Xã chính thức trở thành tên gọi phổ biến	Từ thế kỉ X
