eventId,slug,geoType,code,targetIndex,gadmRef,detail
nhat-ban-tuyen-bo-dau-hang-dong-minh,nhat-ban-tuyen-bo-dau-hang-dong-minh,no_location,UNSUPPORTED_NO_LOCATION,,,
dai-hoi-quoc-dan-tan-trao,dai-hoi-quoc-dan-tan-trao,mixed,DUPLICATE_COORDINATE,0,,markers
giai-phong-thi-xa-thai-nguyen,giai-phong-thi-xa-thai-nguyen,mixed,DUPLICATE_COORDINATE,0,,markers
cac-tinh-gianh-chinh-quyen-som-nhat,cac-tinh-gianh-chinh-quyen-som-nhat,mixed,DUPLICATE_COORDINATE,0,,markers
khoi-nghia-gianh-chinh-quyen-ha-noi,khoi-nghia-gianh-chinh-quyen-ha-noi,mixed,DUPLICATE_COORDINATE,0,,markers
khoi-nghia-gianh-chinh-quyen-hue,khoi-nghia-gianh-chinh-quyen-hue,mixed,DUPLICATE_COORDINATE,0,,markers
khoi-nghia-gianh-chinh-quyen-sai-gon,khoi-nghia-gianh-chinh-quyen-sai-gon,mixed,DUPLICATE_COORDINATE,0,,markers
cac-dia-phuong-cuoi-cung-gianh-chinh-quyen,cac-dia-phuong-cuoi-cung-gianh-chinh-quyen,mixed,DUPLICATE_COORDINATE,0,,markers
tong-khoi-nghia-gianh-chinh-quyen,tong-khoi-nghia-gianh-chinh-quyen,nationwide,UNSUPPORTED_NATIONWIDE,,,
ho-chi-minh-cong-bo-tuyen-ngon-doc-lap,ho-chi-minh-cong-bo-tuyen-ngon-doc-lap,no_location,UNSUPPORTED_NO_LOCATION,,,
phap-xa-sung-sai-gon-cho-lon-1945,phap-xa-sung-sai-gon-cho-lon-1945,mixed,DUPLICATE_COORDINATE,0,,markers
phap-danh-up-uy-ban-hanh-chinh-nam-bo-1945,phap-danh-up-uy-ban-hanh-chinh-nam-bo-1945,mixed,DUPLICATE_COORDINATE,0,,markers
thanh-lap-uy-ban-khang-chien-nam-bo-1945,thanh-lap-uy-ban-khang-chien-nam-bo-1945,mixed,DUPLICATE_COORDINATE,0,,markers
giai-doan-hoan-thanh-cuoc-dau-tranh-gianh-doc-lap-dan-toc-o-dong-nam-a,giai-doan-hoan-thanh-cuoc-dau-tranh-gianh-doc-lap-dan-toc-o-dong-nam-a,no_location,UNSUPPORTED_NO_LOCATION,,,
ho-chi-minh-gui-thu-toi-chu-tich-hoi-dong-lien-hop-quoc,ho-chi-minh-gui-thu-toi-chu-tich-hoi-dong-lien-hop-quoc,no_location,UNSUPPORTED_NO_LOCATION,,,
ho-chi-minh-keu-goi-nhuong-com-se-ao-tang-gia-san-xuat,ho-chi-minh-keu-goi-nhuong-com-se-ao-tang-gia-san-xuat,no_location,UNSUPPORTED_NO_LOCATION,,,
ho-chi-minh-ki-sac-lenh-thanh-lap-nha-binh-dan-hoc-vu-va-quy-doc-lap,ho-chi-minh-ki-sac-lenh-thanh-lap-nha-binh-dan-hoc-vu-va-quy-doc-lap,no_location,UNSUPPORTED_NO_LOCATION,,,
hoat-dong-doi-ngoai-cua-vndcch-voi-trung-hoa-dan-quoc,hoat-dong-doi-ngoai-cua-vndcch-voi-trung-hoa-dan-quoc,nationwide,UNSUPPORTED_NATIONWIDE,,,
khang-chien-chong-thuc-dan-phap-1945-1954,khang-chien-chong-thuc-dan-phap-1945-1954,nationwide,UNSUPPORTED_NATIONWIDE,,,
khang-chien-chong-thuc-dan-phap-o-viet-nam-lao-cam-pu-chia,khang-chien-chong-thuc-dan-phap-o-viet-nam-lao-cam-pu-chia,no_location,UNSUPPORTED_NO_LOCATION,,,
lang-xa-viet-nam-bien-doi-sau-1945,lang-xa-viet-nam-bien-doi-sau-1945,no_location,UNSUPPORTED_NO_LOCATION,,,
viet-nam-de-nghi-lien-hop-quoc-cong-nhan-vndcch,viet-nam-de-nghi-lien-hop-quoc-cong-nhan-vndcch,nationwide,UNSUPPORTED_NATIONWIDE,,,
ho-chi-minh-gui-loi-keu-goi-quoc-dan-di-bo-phieu,ho-chi-minh-gui-loi-keu-goi-quoc-dan-di-bo-phieu,no_location,UNSUPPORTED_NO_LOCATION,,,
ho-chi-minh-duoc-bau-chu-tich-nuoc-1946,ho-chi-minh-duoc-bau-chu-tich-nuoc-1946,no_location,UNSUPPORTED_NO_LOCATION,,,
hiep-uoc-hoa-phap-1946,hiep-uoc-hoa-phap-1946,no_location,UNSUPPORTED_NO_LOCATION,,,
ho-chi-minh-ki-hiep-dinh-so-bo-voi-g-xanh-to-ni,ho-chi-minh-ki-hiep-dinh-so-bo-voi-g-xanh-to-ni,no_location,UNSUPPORTED_NO_LOCATION,,,
ho-chi-minh-sang-phap-van-dong-ngoai-giao-va-ki-tam-uoc,ho-chi-minh-sang-phap-van-dong-ngoai-giao-va-ki-tam-uoc,no_location,UNSUPPORTED_NO_LOCATION,,,
ki-tam-uoc-viet-phap,ki-tam-uoc-viet-phap,no_location,UNSUPPORTED_NO_LOCATION,,,
chien-dau-cac-do-thi-phia-bac-vi-tuyen-16-1946-1947,chien-dau-cac-do-thi-phia-bac-vi-tuyen-16-1946-1947,mixed,DUPLICATE_COORDINATE,0,,markers
ho-chi-minh-ra-loi-keu-goi-toan-quoc-khang-chien,ho-chi-minh-ra-loi-keu-goi-toan-quoc-khang-chien,no_location,UNSUPPORTED_NO_LOCATION,,,
khang-chien-toan-quoc-chong-thuc-dan-phap-bung-no,khang-chien-toan-quoc-chong-thuc-dan-phap-bung-no,no_location,UNSUPPORTED_NO_LOCATION,,,
viet-nam-the-hien-thien-chi-hoa-binh-sau-12-1946,viet-nam-the-hien-thien-chi-hoa-binh-sau-12-1946,no_location,UNSUPPORTED_NO_LOCATION,,,
hien-phap-viet-nam-dan-chu-cong-hoa-1946,hien-phap-viet-nam-dan-chu-cong-hoa-1946,nationwide,UNSUPPORTED_NATIONWIDE,,,
chien-dich-viet-bac-thu-dong-1947,chien-dich-viet-bac-thu-dong-1947,mixed,DUPLICATE_COORDINATE,0,,markers
chien-dich-bien-gioi-thu-dong-1950,chien-dich-bien-gioi-thu-dong-1950,mixed,DUPLICATE_COORDINATE,0,,markers
cac-chien-dich-tien-cong-quan-doi-viet-nam-1950-1953,cac-chien-dich-tien-cong-quan-doi-viet-nam-1950-1953,mixed,DUPLICATE_COORDINATE,0,,markers
vndcch-thiet-lap-quan-he-ngoai-giao-voi-cac-nuoc-xhcn,vndcch-thiet-lap-quan-he-ngoai-giao-voi-cac-nuoc-xhcn,no_location,UNSUPPORTED_NO_LOCATION,,,
dai-hoi-dai-bieu-lan-thu-ii-cua-dang-lao-dong-viet-nam,dai-hoi-dai-bieu-lan-thu-ii-cua-dang-lao-dong-viet-nam,no_location,UNSUPPORTED_NO_LOCATION,,,
dai-hoi-dai-bieu-lan-thu-ii-dang-cong-san-dong-duong-1951,dai-hoi-dai-bieu-lan-thu-ii-dang-cong-san-dong-duong-1951,mixed,DUPLICATE_COORDINATE,0,,markers
ho-chi-minh-duoc-bau-chu-tich-ban-chap-hanh-trung-uong-dang-1951,ho-chi-minh-duoc-bau-chu-tich-ban-chap-hanh-trung-uong-dang-1951,no_location,UNSUPPORTED_NO_LOCATION,,,
mat-tran-lien-viet-ra-doi-1951,mat-tran-lien-viet-ra-doi-1951,no_location,UNSUPPORTED_NO_LOCATION,,,
chu-quyen-viet-nam-duoc-tuyen-bo-cong-nhan-hoi-nghi-xan-phran-xi-xo,chu-quyen-viet-nam-duoc-tuyen-bo-cong-nhan-hoi-nghi-xan-phran-xi-xo,no_location,UNSUPPORTED_NO_LOCATION,,,
thanh-lap-lien-minh-nhan-dan-viet-mien-lao,thanh-lap-lien-minh-nhan-dan-viet-mien-lao,nationwide,UNSUPPORTED_NATIONWIDE,,,
cuoc-van-dong-san-xuat-va-tiet-kiem-1952,cuoc-van-dong-san-xuat-va-tiet-kiem-1952,no_location,UNSUPPORTED_NO_LOCATION,,,
ke-hoach-na-va-1953,ke-hoach-na-va-1953,no_location,UNSUPPORTED_NO_LOCATION,,,
quoc-hoi-thong-qua-luat-cai-cach-ruong-dat-1953,quoc-hoi-thong-qua-luat-cai-cach-ruong-dat-1953,no_location,UNSUPPORTED_NO_LOCATION,,,
cuoc-tien-cong-chien-luoc-dong-xuan-1953-1954,cuoc-tien-cong-chien-luoc-dong-xuan-1953-1954,no_location,UNSUPPORTED_NO_LOCATION,,,
chien-dich-dien-bien-phu-1954,chien-dich-dien-bien-phu-1954,mixed,DUPLICATE_COORDINATE,0,,markers
hoi-nghi-gio-ne-vo-ve-dong-duong,hoi-nghi-gio-ne-vo-ve-dong-duong,no_location,UNSUPPORTED_NO_LOCATION,,,
ky-ket-hiep-dinh-go-ne-vo-1954,ky-ket-hiep-dinh-go-ne-vo-1954,no_location,UNSUPPORTED_NO_LOCATION,,,
cai-cach-ruong-dat-mien-bac,cai-cach-ruong-dat-mien-bac,no_location,UNSUPPORTED_NO_LOCATION,,,
chien-tranh-bao-ve-doc-lap-dan-toc-va-chu-quyen-quoc-gia-o-dong-duong,chien-tranh-bao-ve-doc-lap-dan-toc-va-chu-quyen-quoc-gia-o-dong-duong,no_location,UNSUPPORTED_NO_LOCATION,,,
chu-quyen-bien-dao-viet-nam-1954-1975,chu-quyen-bien-dao-viet-nam-1954-1975,nationwide,UNSUPPORTED_NATIONWIDE,,,
giai-doan-khang-chien-chong-my-1954-1960,giai-doan-khang-chien-chong-my-1954-1960,mixed,DUPLICATE_COORDINATE,0,,markers
khang-chien-chong-my-cuu-nuoc,khang-chien-chong-my-cuu-nuoc,nationwide,UNSUPPORTED_NATIONWIDE,,,
my-can-thiep-vao-dong-duong,my-can-thiep-vao-dong-duong,no_location,UNSUPPORTED_NO_LOCATION,,,
my-thay-chan-phap-dung-chinh-quyen-ngo-dinh-diem,my-thay-chan-phap-dung-chinh-quyen-ngo-dinh-diem,mixed,DUPLICATE_COORDINATE,0,,markers
quan-li-hanh-chinh-chinh-quyen-sai-gon-hoang-sa-truong-sa,quan-li-hanh-chinh-chinh-quyen-sai-gon-hoang-sa-truong-sa,mixed,DUPLICATE_COORDINATE,0,,markers
viet-nam-tam-thoi-bi-chia-cat-hai-mien,viet-nam-tam-thoi-bi-chia-cat-hai-mien,nationwide,UNSUPPORTED_NATIONWIDE,,,
lien-xo-vien-tro-cho-viet-nam,lien-xo-vien-tro-cho-viet-nam,no_location,UNSUPPORTED_NO_LOCATION,,,
ho-chi-minh-chu-tich-tong-bi-thu-dang-lao-dong-1956,ho-chi-minh-chu-tich-tong-bi-thu-dang-lao-dong-1956,no_location,UNSUPPORTED_NO_LOCATION,,,
dai-loan-chiem-dong-dao-ba-binh-truong-sa,dai-loan-chiem-dong-dao-ba-binh-truong-sa,no_location,UNSUPPORTED_NO_LOCATION,,,
philippin-tuyen-bo-quyen-khai-thac-lap-nghiep-truong-sa,philippin-tuyen-bo-quyen-khai-thac-lap-nghiep-truong-sa,no_location,UNSUPPORTED_NO_LOCATION,,,
viet-nam-danh-chiem-nua-phia-dong-hoang-sa,viet-nam-danh-chiem-nua-phia-dong-hoang-sa,multi_point,DUPLICATE_COORDINATE,0,,markers
viet-nam-danh-chiem-nua-phia-dong-hoang-sa,viet-nam-danh-chiem-nua-phia-dong-hoang-sa,multi_point,DUPLICATE_COORDINATE_DIFFERENT_LABEL,1,,markers
hoi-nghi-ban-chap-hanh-trung-uong-lan-thu-15-dang-lao-dong-viet-nam,hoi-nghi-ban-chap-hanh-trung-uong-lan-thu-15-dang-lao-dong-viet-nam,no_location,UNSUPPORTED_NO_LOCATION,,,
phong-trao-dong-khoi,phong-trao-dong-khoi,mixed,DUPLICATE_COORDINATE,0,,markers
dai-hoi-dai-bieu-toan-quoc-lan-thu-iii-cua-dang-lao-dong-viet-nam,dai-hoi-dai-bieu-toan-quoc-lan-thu-iii-cua-dang-lao-dong-viet-nam,no_location,UNSUPPORTED_NO_LOCATION,,,
dai-hoi-dai-bieu-toan-quoc-lan-thu-iii-dang-lao-dong-viet-nam,dai-hoi-dai-bieu-toan-quoc-lan-thu-iii-dang-lao-dong-viet-nam,mixed,DUPLICATE_COORDINATE,0,,markers
ho-chi-minh-tiep-tuc-duoc-bau-chu-tich-dang-lao-dong-1960,ho-chi-minh-tiep-tuc-duoc-bau-chu-tich-dang-lao-dong-1960,no_location,UNSUPPORTED_NO_LOCATION,,,
thanh-lap-quan-giai-phong-mien-nam,thanh-lap-quan-giai-phong-mien-nam,no_location,UNSUPPORTED_NO_LOCATION,,,
chu-tich-ho-chi-minh-tham-quan-cang-bai-chay-1961,chu-tich-ho-chi-minh-tham-quan-cang-bai-chay-1961,mixed,DUPLICATE_COORDINATE,0,,markers
giai-doan-khang-chien-chong-my-1961-1965,giai-doan-khang-chien-chong-my-1961-1965,mixed,DUPLICATE_COORDINATE,0,,markers
ke-hoach-nha-nuoc-5-nam-lan-thu-nhat-mien-bac,ke-hoach-nha-nuoc-5-nam-lan-thu-nhat-mien-bac,no_location,UNSUPPORTED_NO_LOCATION,,,
chien-thang-ap-bac,chien-thang-ap-bac,mixed,DUPLICATE_COORDINATE,0,,markers
cac-chien-thang-quan-su-1964-1965,cac-chien-thang-quan-su-1964-1965,mixed,DUPLICATE_COORDINATE,0,,markers
chien-thang-van-tuong,chien-thang-van-tuong,mixed,DUPLICATE_COORDINATE,0,,markers
giai-doan-khang-chien-chong-my-1965-1968,giai-doan-khang-chien-chong-my-1965-1968,mixed,DUPLICATE_COORDINATE,0,,markers
hoi-nghi-pa-ri-ve-viet-nam,hoi-nghi-pa-ri-ve-viet-nam,no_location,UNSUPPORTED_NO_LOCATION,,,
tong-tien-cong-va-noi-day-xuan-mau-than-1968,tong-tien-cong-va-noi-day-xuan-mau-than-1968,mixed,DUPLICATE_COORDINATE,0,,markers
giai-doan-khang-chien-chong-my-1969-1973,giai-doan-khang-chien-chong-my-1969-1973,nationwide,UNSUPPORTED_NATIONWIDE,,,
dap-tan-cuoc-hanh-quan-xam-luoc-vao-cam-pu-chia-1970,dap-tan-cuoc-hanh-quan-xam-luoc-vao-cam-pu-chia-1970,no_location,UNSUPPORTED_NO_LOCATION,,,
hoi-nghi-cap-cao-ba-nuoc-viet-nam-lao-cam-pu-chia,hoi-nghi-cap-cao-ba-nuoc-viet-nam-lao-cam-pu-chia,no_location,UNSUPPORTED_NO_LOCATION,,,
chien-dich-duong-9-nam-lao,chien-dich-duong-9-nam-lao,no_location,UNSUPPORTED_NO_LOCATION,,,
philippin-chiem-dong-9-dao-truong-sa,philippin-chiem-dong-9-dao-truong-sa,no_location,UNSUPPORTED_NO_LOCATION,,,
cuoc-tien-cong-chien-luoc-nam-1972,cuoc-tien-cong-chien-luoc-nam-1972,mixed,DUPLICATE_COORDINATE,0,,markers
chien-tranh-pha-hoai-mien-bac-lan-thu-hai,chien-tranh-pha-hoai-mien-bac-lan-thu-hai,mixed,DUPLICATE_COORDINATE,0,,markers
ki-ket-hiep-dinh-pa-ri-ve-cham-dut-chien-tranh-lap-lai-hoa-binh-o-viet-nam,ki-ket-hiep-dinh-pa-ri-ve-cham-dut-chien-tranh-lap-lai-hoa-binh-o-viet-nam,no_location,UNSUPPORTED_NO_LOCATION,,,
hoi-nghi-ban-chap-hanh-trung-uong-dang-lan-thu-21,hoi-nghi-ban-chap-hanh-trung-uong-dang-lan-thu-21,no_location,UNSUPPORTED_NO_LOCATION,,,
giai-doan-khang-chien-chong-my-1973-1975,giai-doan-khang-chien-chong-my-1973-1975,mixed,DUPLICATE_COORDINATE,0,,markers
giai-doan-khang-chien-chong-my-1973-1975,giai-doan-khang-chien-chong-my-1973-1975,mixed,DUPLICATE_COORDINATE_DIFFERENT_LABEL,5,,markers
chien-thang-duong-14-phuoc-long,chien-thang-duong-14-phuoc-long,no_location,UNSUPPORTED_NO_LOCATION,,,
giai-phong-hue-va-thua-thien,giai-phong-hue-va-thua-thien,mixed,DUPLICATE_COORDINATE,0,,markers
giai-phong-hue-va-thua-thien,giai-phong-hue-va-thua-thien,mixed,DUPLICATE_COORDINATE_DIFFERENT_LABEL,1,,markers
giai-phong-da-nang,giai-phong-da-nang,mixed,DUPLICATE_COORDINATE,0,,markers
tong-tien-cong-va-noi-day-xuan-1975,tong-tien-cong-va-noi-day-xuan-1975,mixed,DUPLICATE_COORDINATE,0,,markers
tong-tien-cong-va-noi-day-xuan-1975,tong-tien-cong-va-noi-day-xuan-1975,mixed,DUPLICATE_COORDINATE_DIFFERENT_LABEL,5,,markers
chien-dich-giai-phong-sai-gon-gia-dinh-chien-dich-ho-chi-minh,chien-dich-giai-phong-sai-gon-gia-dinh-chien-dich-ho-chi-minh,mixed,DUPLICATE_COORDINATE,0,,markers
mit-tinh-chao-mung-uy-ban-quan-quan-sai-gon-1975,mit-tinh-chao-mung-uy-ban-quan-quan-sai-gon-1975,mixed,DUPLICATE_COORDINATE,0,,markers
quoc-hoi-khoa-vi-doi-ten-sai-gon-thanh-thanh-pho-ho-chi-minh,quoc-hoi-khoa-vi-doi-ten-sai-gon-thanh-thanh-pho-ho-chi-minh,mixed,DUPLICATE_COORDINATE,0,,markers
quoc-hoi-khoa-vi-doi-ten-sai-gon-thanh-thanh-pho-ho-chi-minh,quoc-hoi-khoa-vi-doi-ten-sai-gon-thanh-thanh-pho-ho-chi-minh,mixed,DUPLICATE_COORDINATE_DIFFERENT_LABEL,1,,markers
quoc-hoi-khoa-vi-doi-ten-sai-gon-thanh-thanh-pho-ho-chi-minh,quoc-hoi-khoa-vi-doi-ten-sai-gon-thanh-thanh-pho-ho-chi-minh,mixed,DUPLICATE_COORDINATE_DIFFERENT_LABEL,2,,markers
thuc-hien-thong-nhat-dat-nuoc-viet-nam,thuc-hien-thong-nhat-dat-nuoc-viet-nam,nationwide,UNSUPPORTED_NATIONWIDE,,,
viet-nam-ban-hanh-tuyen-bo-vung-bien-them-luc-dia,viet-nam-ban-hanh-tuyen-bo-vung-bien-them-luc-dia,no_location,UNSUPPORTED_NO_LOCATION,,,
viet-nam-thanh-vien-lien-hop-quoc,viet-nam-thanh-vien-lien-hop-quoc,no_location,UNSUPPORTED_NO_LOCATION,,,
lien-hop-quoc-vien-tro-viet-nam-1977-1986,lien-hop-quoc-vien-tro-viet-nam-1977-1986,no_location,UNSUPPORTED_NO_LOCATION,,,
philippin-ban-hanh-sac-lenh-1596-tuyen-bo-chu-quyen-truong-sa,philippin-ban-hanh-sac-lenh-1596-tuyen-bo-chu-quyen-truong-sa,no_location,UNSUPPORTED_NO_LOCATION,,,
viet-nam-gia-nhap-sev,viet-nam-gia-nhap-sev,no_location,UNSUPPORTED_NO_LOCATION,,,
go-ro-bat-co-pham-tuan-bay-vu-tru,go-ro-bat-co-pham-tuan-bay-vu-tru,no_location,UNSUPPORTED_NO_LOCATION,,,
thanh-lap-huyen-hoang-sa-va-huyen-truong-sa,thanh-lap-huyen-hoang-sa-va-huyen-truong-sa,mixed,DUPLICATE_COORDINATE,0,,markers
thanh-lap-huyen-hoang-sa-va-huyen-truong-sa,thanh-lap-huyen-hoang-sa-va-huyen-truong-sa,mixed,DUPLICATE_COORDINATE_DIFFERENT_LABEL,4,,markers
thanh-lap-huyen-hoang-sa-va-huyen-truong-sa,thanh-lap-huyen-hoang-sa-va-huyen-truong-sa,mixed,DUPLICATE_COORDINATE_DIFFERENT_LABEL,7,,markers
bru-nay-tuyen-bo-ranh-gioi-them-luc-dia,bru-nay-tuyen-bo-ranh-gioi-them-luc-dia,no_location,UNSUPPORTED_NO_LOCATION,,,
bru-nay-tuyen-bo-vung-dac-quyen-kinh-te,bru-nay-tuyen-bo-vung-dac-quyen-kinh-te,no_location,UNSUPPORTED_NO_LOCATION,,,
dai-hoi-dai-bieu-toan-quoc-lan-thu-vi-cua-dang-cong-san-viet-nam,dai-hoi-dai-bieu-toan-quoc-lan-thu-vi-cua-dang-cong-san-viet-nam,nationwide,UNSUPPORTED_NATIONWIDE,,,
cong-cuoc-doi-moi-o-viet-nam,cong-cuoc-doi-moi-o-viet-nam,nationwide,UNSUPPORTED_NATIONWIDE,,,
giai-doan-khoi-dau-cong-cuoc-doi-moi-1986-1995,giai-doan-khoi-dau-cong-cuoc-doi-moi-1986-1995,nationwide,UNSUPPORTED_NATIONWIDE,,,
trung-quoc-danh-chiem-dao-gac-ma-len-dao-chu-thap-va-mot-so-dao-khac-truong-sa,trung-quoc-danh-chiem-dao-gac-ma-len-dao-chu-thap-va-mot-so-dao-khac-truong-sa,multi_point,DUPLICATE_COORDINATE,0,,markers
chien-si-hai-quan-nhan-dan-viet-nam-hi-sinh-bao-ve-gac-ma-co-lin-len-dao,chien-si-hai-quan-nhan-dan-viet-nam-hi-sinh-bao-ve-gac-ma-co-lin-len-dao,multi_point,DUPLICATE_COORDINATE,0,,markers
bai-bo-che-do-tem-phieu-o-viet-nam,bai-bo-che-do-tem-phieu-o-viet-nam,nationwide,UNSUPPORTED_NATIONWIDE,,,
dai-hoi-dai-bieu-toan-quoc-lan-thu-vii-cua-dang-cong-san-viet-nam,dai-hoi-dai-bieu-toan-quoc-lan-thu-vii-cua-dang-cong-san-viet-nam,nationwide,UNSUPPORTED_NATIONWIDE,,,
viet-nam-binh-thuong-hoa-quan-he-trung-quoc,viet-nam-binh-thuong-hoa-quan-he-trung-quoc,no_location,UNSUPPORTED_NO_LOCATION,,,
xay-dung-va-dong-dien-duong-day-500kv-bac-nam-mach-1,xay-dung-va-dong-dien-duong-day-500kv-bac-nam-mach-1,nationwide,UNSUPPORTED_NATIONWIDE,,,
